CVE ID,Severity,Description
CVE-2008-2079,High,Privilege escalation vulnerability in MySQL 5.0.51a.
CVE-2007-2138,Medium,Buffer overflow in PostgreSQL 8.3.0 may allow remote attackers to crash the database server.
